k,iteration,inertia,silhouette,elapsed_ms,partition_strategy
2,0,13039.964619396602,0.7821307736422619,635.820746421814,DEFAULT
2,1,6519.982309698301,0.7821307736422619,635.820746421814,DEFAULT
2,2,4346.654873132201,0.7821307736422619,635.820746421814,DEFAULT
2,3,3259.9911548491505,0.7821307736422619,635.820746421814,DEFAULT
2,4,2607.99292387932,0.7821307736422619,635.820746421814,DEFAULT
2,5,2173.3274365661005,0.7821307736422619,635.820746421814,DEFAULT
2,6,1862.852088485229,0.7821307736422619,635.820746421814,DEFAULT
2,7,1629.9955774245752,0.7821307736422619,635.820746421814,DEFAULT
2,8,1448.8849577107335,0.7821307736422619,635.820746421814,DEFAULT
2,9,1303.99646193966,0.7821307736422619,635.820746421814,DEFAULT
3,0,739.0254217718589,0.9797305638729684,575.0957727432251,DEFAULT
3,1,369.51271088592944,0.9797305638729684,575.0957727432251,DEFAULT
3,2,246.3418072572863,0.9797305638729684,575.0957727432251,DEFAULT
3,3,184.75635544296472,0.9797305638729684,575.0957727432251,DEFAULT
3,4,147.8050843543718,0.9797305638729684,575.0957727432251,DEFAULT
3,5,123.17090362864315,0.9797305638729684,575.0957727432251,DEFAULT
3,6,105.5750602531227,0.9797305638729684,575.0957727432251,DEFAULT
3,7,92.37817772148236,0.9797305638729684,575.0957727432251,DEFAULT
3,8,82.11393575242876,0.9797305638729684,575.0957727432251,DEFAULT
3,9,73.9025421771859,0.9797305638729684,575.0957727432251,DEFAULT
4,0,707.0158367491987,0.726044211340149,447.5747585296631,DEFAULT
4,1,353.50791837459934,0.726044211340149,447.5747585296631,DEFAULT
4,2,235.67194558306622,0.726044211340149,447.5747585296631,DEFAULT
4,3,176.75395918729967,0.726044211340149,447.5747585296631,DEFAULT
4,4,141.40316734983975,0.726044211340149,447.5747585296631,DEFAULT
4,5,117.83597279153311,0.726044211340149,447.5747585296631,DEFAULT
4,6,101.00226239274267,0.726044211340149,447.5747585296631,DEFAULT
4,7,88.37697959364984,0.726044211340149,447.5747585296631,DEFAULT
4,8,78.55731519435541,0.726044211340149,447.5747585296631,DEFAULT
4,9,70.70158367491987,0.726044211340149,447.5747585296631,DEFAULT
5,0,684.8549436524602,0.7232229791774544,405.72240352630615,DEFAULT
5,1,342.4274718262301,0.7232229791774544,405.72240352630615,DEFAULT
5,2,228.28498121748672,0.7232229791774544,405.72240352630615,DEFAULT
5,3,171.21373591311504,0.7232229791774544,405.72240352630615,DEFAULT
5,4,136.97098873049202,0.7232229791774544,405.72240352630615,DEFAULT
5,5,114.14249060874336,0.7232229791774544,405.72240352630615,DEFAULT
